State,Rate 1990,Rate 1998
Alabama,19.2,14.5
Alaska,11.4,9.4
Arizona,13.7,16.6
Arkansas,19.6,14.8
California,13.9,15.4
Colorado,13.7,9.2
Connecticut,6.0,9.5
Delaware,6.9,10.3
District of Columbia,21.1,22.3
Florida,14.4,13.1
Georgia,15.8,13.6
Hawaii,11.0,10.9
Idaho,14.9,13.0
Illinois,13.7,10.1
Indiana,13.0,9.4
Iowa,10.4,9.1
Kansas,10.3,9.6
Kentucky,17.3,13.5
Louisiana,23.6,19.1
Maine,13.1,10.4
Maryland,9.9,7.2
Massachusetts,10.7,8.7
Michigan,14.3,11.0
Minnesota,12.0,10.4
Mississippi,25.7,17.6
Missouri,13.4,9.8
Montana,16.3,16.6
Nebraska,10.3,12.3
Nevada,9.8,10.6
New Hampshire,6.3,9.8
New Jersey,9.2,8.6
New Mexico,20.9,20.4
New York,14.3,16.7
North Carolina,13.0,14.0
North Dakota,13.7,15.1
Ohio,11.5,11.2
Oklahoma,15.6,14.1
Oregon,9.2,15.0
Pennsylvania,11.0,11.2
Rhode Island,7.5,11.6
South Carolina,16.2,13.7
South Dakota,13.3,10.8
Tennessee,16.9,13.4
Texas,15.9,15.1
Utah,8.2,9.0
Vermont,10.9,9.9
Virginia,11.1,8.8
Washington,8.9,8.9
West Virginia,18.1,17.8
Wisconsin,9.3,8.8
Wyoming,11.0,10.6
